cpu_utilization_mean,cpu_utilization_max,cpu_variance_coef,cpu_imbalance,memory_pressure_mean,memory_pressure_max,memory_variance_coef,memory_imbalance,network_in_rate,network_out_rate,network_in_variance_coef,network_out_variance_coef,network_asymmetry,disk_io_rate,disk_io_variance_coef,request_rate,request_variance_coef,error_rate,error_variance_coef,latency_mean,latency_p95,latency_variance_coef,system_stress,resource_efficiency,service_density,cpu_memory_correlation,performance_degradation,timestamp,anomaly_label,anomaly_type
0.20136666666666667,0.28309999999999996,0.340972929588023,0.8342989571263034,0.46276666666666666,0.5224,0.1133903027709235,0.2759490023770079,0.0008033333333333332,0.08854,1.2212429635948319,0.11813869437542356,0.9820169274109214,0.016216666666666664,0.333873571214659,0.04054333333333333,0.5558682004688672,0.03502425388473238,0.0,0.12910666666666665,0.15093,0.21466462605462286,0,0.11852465406353536,0.3,-0.440730826947234,0.003107758966540961, realistic_normal_1034     ,0, normal
0.18526666666666666,0.2973,0.43477355063145473,1.0034184958618209,0.45513333333333345,0.4867,0.09684531866043351,0.20631316830232896,0.009076666666666667,0.0677,0.6502139875888049,0.44756277695716395,0.7635566261856038,0.016106666666666665,0.19532652711569712,0.02076666666666667,0.3929524147615351,0.02231139646869984,0.4388489208633093,0.09191333333333335,0.11573,0.2119573309048569,0,0.0628911770644054,0.3,-0.9821266288664131,0.004222664624808576, realistic_normal_1176     ,0, normal
0.1024,0.1451,0.5800753849191738,1.2373046875,0.40313333333333334,0.4987,0.19547620752557018,0.4787497932859268,0.004626666666666666,0.101225,0.40106846807746793,0.021980735984193644,0.9125820637755785,0.01496,0.19098550101858858,0.02495666666666667,0.9387504440416933,0.03272338720448778,0.6326530612244897,0.12933,0.17035,0.25380430024902667,0,0.09497653177724216,0.3,-0.8624392522563588,0.004982534994221139, realistic_normal_67       ,0, normal
0.7448333333333333,1.0,0.25181938340396826,0.5981203848735734,0.52,0.6236999999999999,0.14925513612854166,0.3590384615384614,0.004443333333333334,0.056655000000000004,0.5289423385516671,0.7650692789691995,0.8545513922166225,0.01848,0.1531509563127215,0.030676666666666665,0.6842203479605564,0.024122568727588826,0.0990990990990991,0.17295000000000002,0.22683,0.31947139065514274,0,0.04775197820729018,0.3,-0.5486856963512105,0.005459854782700201, realistic_cpu_spike_130   ,1, cpu_spike
0.31066666666666665,0.3847,0.18025029364256512,0.4358369098712446,0.5206666666666666,0.5705,0.07995607734822022,0.19571062740076822,0.0048266666666666675,0.06294,0.14564129570643203,0.572926596758818,0.8575504054468706,0.013846666666666669,0.41808998737067016,0.049100000000000005,1.3192702019033946,0.039714867617107935,0.0,0.12323666666666667,0.17346999999999999,0.3051410624055615,0,0.11534847298355523,0.3,0.6022311535222372,0.0024598137059214905, realistic_normal_650      ,0, normal
0.0885,0.1355,0.39593302031922195,0.9502824858757063,0.7337666666666667,0.8518000000000001,0.12125348881070046,0.29273611048017084,0.00527,0.12065000000000001,0.8543213472035734,0.24575217571487779,0.9162960537142945,0.01638,0.1809397201054315,0.04964333333333334,0.554922263610879,0.02088229369502451,0.2861736334405144,0.14213666666666666,0.18362,0.2740707157783948,0,0.11788032293810355,0.3,0.9995101343568751,0.002806621470414006, realistic_memory_leak_268 ,1, memory_leak
0.21163333333333334,0.26280000000000003,0.24132981401212625,0.5712710663096551,0.5251,0.5584,0.045421417159713116,0.10398019424871455,0.004173333333333333,0.053435,0.8671039232588411,0.7591466267427716,0.8551135393297231,0.015516666666666668,0.2549838609178417,0.008139999999999998,0.304554349775391,0.05569205569205569,0.4705882352941177,0.15216333333333332,0.22733,0.3579555555410621,0,0.021513523037617825,0.3,0.587008967090759,0.01664806710430343, realistic_normal_986      ,0, normal
0.3048666666666667,0.3689,0.26522926772823247,0.5841898097528975,0.40330000000000005,0.47850000000000004,0.13695478904709638,0.3250681874535085,0.004986666666666667,0.066905,0.5110301768302524,0.4946566026455422,0.8612727363680621,0.016730000000000002,0.16222359455586224,0.018616666666666667,0.9632901125789815,0.023097582811101164,0.5503875968992248,0.09587333333333334,0.11177,0.155953490885597,0,0.0511329823758297,0.3,0.31495402174601433,0.004887340696686491, realistic_normal_552      ,0, normal
0.32730000000000004,0.39590000000000003,0.17355095511099175,0.4249923617476322,0.44220000000000004,0.5034000000000001,0.1788885798302157,0.39099954771596573,0.0037266666666666668,0.058480000000000004,0.7173814117150406,0.5560875512995896,0.8801843176478783,0.011640000000000001,0.37995501842095947,0.03262333333333334,0.6205394308608645,0.03770307550832737,0.6260162601626017,0.19922000000000004,0.36973,0.6079045634389532,0,0.08264302301034408,0.3,0.031590087622743734,0.005925052047189452, realistic_cpu_spike_227   ,1, cpu_spike
0.24156666666666665,0.3039,0.28741122877885306,0.6590313233061956,0.7430333333333333,0.7595999999999999,0.01818631596246943,0.044547126643039635,0.00233,0.08825,0.6708746222313641,0.13314447592067988,0.9485537541559533,0.01308,0.18600463360684913,0.009046666666666666,0.37129491456108865,0.02210759027266028,0.0,0.08045000000000001,0.1,0.21550479092135819,0,0.018010485101864756,0.3,-0.7737493773437044,0.008007631055076311, realistic_memory_leak_68  ,1, memory_leak
